v,DLE,DLE error,DLH,DLH error,DL,DL error,
0.1,1.07E-20,1.02E-21,-1.99E-24,3.58E-25,1.06793509782364E-20,1.01952620004042E-21,0.0954670562020234
0.189,5.93E-21,-7.82E-23,-4.53E-24,-5.99E-25,5.92295157029171E-21,-7.87940024613898E-23,-0.0133031650734077
0.278,3.62E-21,1.13E-22,-7.16E-24,-7.60E-25,3.60880463327864E-21,1.11906802295375E-22,0.0310093822379369
0.367,2.66E-21,-3.59E-22,-1.05E-23,5.74E-25,2.65188661596219E-21,-3.58344913104063E-22,-0.13512829355038
0.456,2.32E-21,-1.48E-22,-1.18E-23,2.53E-24,2.31107186521884E-21,-1.45341924213311E-22,-0.0628894005420935
0.545,1.54E-21,-4.32E-24,-1.42E-23,-2.04E-24,1.53042275814395E-21,-6.35526937876027E-24,-0.00415262341398251
0.634,1.69E-21,-2.17E-22,-2.38E-23,-1.60E-24,1.66377096321131E-21,-2.18143999805349E-22,-0.131114200589425
0.723,1.23E-21,-2.92E-23,-3.51E-23,5.87E-24,1.19950056417544E-21,-2.33543520061264E-23,-0.0194700633777364
0.812,1.08E-21,5.91E-23,-6.48E-23,-1.93E-24,1.01778589938004E-21,5.71478924965525E-23,0.0561492279774779
0.901,9.68E-22,-1.08E-22,-1.11E-22,-1.36E-23,8.57408757064328E-22,-1.21238713478484E-22,-0.141401300697689
